kickX,kickY,kickAngle,goalZ,outcome,kickPleas,kickArou,goalPleas,goalArou
1.043994,0.037750,-8.000000,-0.103763,G,0.670638,0.768744,-0.335319,0.621590
1.056931,0.077244,6.000000,0.497326,G,1.000000,0.777421,-0.719724,-0.807800
1.081152,0.098916,22.000000,0.245460,O,-0.555730,0.155101,0.254152,0.106009
1.048134,-0.014436,-24.000000,-0.248528,R,-0.400000,0.269429,0.250548,0.092903
1.007282,0.023512,-30.000000,0.255577,O,-0.663893,-0.126122,0.755211,0.071962
1.066236,0.091535,14.000000,-0.448371,G,0.299666,0.402064,-0.149833,-0.629465
1.100796,0.124832,34.000000,-0.346969,O,-0.691901,-0.198943,0.846760,-0.260946
1.074769,0.094184,18.000000,0.096463,L,-0.400000,0.322621,0.403318,0.648429
1.007132,0.004362,-34.000000,-0.254547,O,-0.698069,-0.214981,0.245945,0.076163
1.054484,0.058928,0.000000,-0.396504,G,0.586662,0.896890,-0.293331,-0.441604
1.081150,0.099240,22.000000,-0.047673,L,-0.400000,0.356254,0.547101,0.828724
1.013975,0.082456,-14.000000,0.050807,G,0.607454,0.645255,-0.303727,0.814481
1.062026,0.080893,10.000000,-0.097520,G,0.685038,0.559894,-0.342519,0.645139
1.043613,0.027525,-10.000000,-0.145098,G,0.915002,0.687339,-0.457501,0.473309
1.057199,0.074609,8.000000,-0.253783,D,-0.300000,0.681606,1.000000,0.076465
1.079001,0.106800,24.000000,0.349718,O,-0.619143,-0.009773,0.149968,-0.272844
1.081925,0.113581,26.000000,-0.048545,O,-0.658553,-0.112238,0.548953,0.821988
1.066736,0.091998,14.000000,0.299115,G,1.000000,0.455515,-0.844495,-0.090948
1.047167,-0.028645,-30.000000,0.304207,O,-0.634265,-0.049088,0.803826,-0.104822
1.048249,0.049964,-4.000000,-0.054946,G,0.297897,0.906035,-0.148948,0.800060
1.060069,0.074483,8.000000,0.303877,G,1.000000,0.664117,-0.639747,-0.104959
1.062005,0.083063,12.000000,0.246220,G,1.000000,0.652413,-0.593932,0.104200
1.053117,0.060636,-2.000000,-0.202542,G,0.451047,0.976804,-0.225524,0.264262
1.019894,0.090313,-10.000000,-0.195934,G,0.967776,0.711912,-0.483888,0.288000
1.087627,0.111825,30.000000,-0.300958,O,-0.711088,-0.248830,0.801200,-0.095272
1.043468,-0.012536,-22.000000,-0.096592,R,-0.400000,0.342143,0.403269,0.648251
1.004929,0.010482,-30.000000,0.196239,O,-0.660506,-0.117316,0.696313,0.286136
