@relation outTestNew

@attribute kickX numeric
@attribute kickZ numeric
@attribute kickAngle numeric
@attribute goalZ numeric
@attribute Outcome {O,L,G,R,D}
@attribute KickPleas numeric
@attribute KickArou numeric
@attribute GoalPleas numeric
@attribute GoalArou numeric

@data
1.064558,0.09976,18,0.00479,L,-0.4,0.373298,0.495007,0.981844
1.082359,0.117927,28,0.200587,O,-0.664475,-0.127635,0.299011,0.269131
1.043924,-0.011218,-24,0.448784,O,-0.550247,0.169357,0.947636,-0.627769
1.062551,0.082808,12,0.19998,G,1,0.492197,-0.708605,0.26981
1.079542,0.105402,22,-0.49768,O,-0.559833,0.144435,0.99785,-0.810365
1.056152,0.07224,4,0.495438,G,1,0.859607,-0.635685,-0.801063
1.041973,-0.007584,-20,-0.349897,R,-0.4,0.334067,0.149701,-0.273815
1.021709,0.097231,-8,0.15405,D,-0.3,0.766402,1,0.440104
1.04333,-0.020647,-26,0.303452,O,-0.623159,-0.020214,0.803375,-0.103182
1.048767,0.008398,-16,0.44598,D,-0.3,0.525362,1,-0.623388
1.047111,0.044021,-6,0.49835,G,0.722896,0.863245,-0.361448,-0.811646
1.062824,0.082769,12,0.445303,G,1,0.633318,-0.812364,-0.620663
1.008749,0.033094,-26,-0.399942,O,-0.632223,-0.043781,0.10074,-0.451856
1.096423,0.127766,34,-0.454394,O,-0.758618,-0.372407,0.954439,-0.652505
1.047965,-0.042172,-32,-0.496857,O,-0.661656,-0.120306,0.003869,-0.804112
1.017236,0.111363,-4,-0.196518,G,0.629669,0.881078,-0.314835,0.287592
1.053903,0.072943,6,-0.348145,G,0.305981,0.804627,-0.152991,-0.266776
1.056488,-0.049575,-36,-0.500109,O,-0.76618,-0.392069,0.000013,-0.818133
1.054465,0.065242,0,0.351138,G,0.730345,0.985839,-0.365172,-0.276406
1.046273,-0.035124,-32,0.349282,O,-0.677403,-0.161249,0.849593,-0.271249
1.081982,0.114615,28,-0.39831,O,-0.647044,-0.082315,0.898672,-0.449718
1.069673,0.102476,20,-0.352303,L,-0.4,0.232977,0.852273,-0.280992
1.054174,-0.036536,-30,-0.397167,O,-0.679368,-0.166358,0.102852,-0.444175
1.076752,0.106119,24,-0.498096,O,-0.594257,0.054932,0.998318,-0.812064
1.05862,0.087012,12,0.095667,G,1,0.518005,-0.577148,0.653989
1.051149,-0.016836,-26,0.200521,O,-0.548468,0.173984,0.699822,0.273374
1.065641,0.095386,16,-0.152458,G,0.809289,0.442839,-0.404645,0.445395
1.074161,0.097825,20,-0.295393,L,-0.4,0.243987,0.795158,-0.073302
1.009941,0.050124,-22,-0.495496,R,-0.4,0.314028,0.004663,-0.801224
1.00271,0.024524,-28,0.202977,O,-0.629162,-0.035822,0.703119,0.261386
1.049319,-0.040526,-32,0.303748,O,-0.680883,-0.170295,0.804089,-0.105779
1.053497,0.08507,10,0.148782,G,1,0.529888,-0.618502,0.460401
1.044368,-0.023929,-28,-0.154751,O,-0.623787,-0.021847,0.345796,0.439259
1.048646,-0.009859,-22,0.146354,O,-0.570285,0.117259,0.646146,0.468559
1.059552,0.091302,14,-0.045049,G,1,0.452019,-0.502422,0.83433
1.04601,-0.031482,-28,0.498585,O,-0.597506,0.046485,0.999429,-0.816104
1.058499,0.08533,12,0.145623,G,1,0.579843,-0.565616,0.471057
1.043039,0.039681,-6,0.454234,G,0.560904,0.826302,-0.280452,-0.651456
1.105711,0.123622,36,-0.300668,O,-0.815928,-0.521412,0.799953,-0.090738
1.04238,0.010836,-16,-0.352558,G,1,0.484438,-0.86859,-0.28374
1.011075,0.064653,-18,-0.453466,G,1,0.483341,-0.970164,-0.649107
1.046031,0.023631,-12,-0.504502,G,1,0.612697,-0.891688,-0.834129
1.058048,-0.048695,-36,0.395577,O,-0.732551,-0.304631,0.895576,-0.438457
1.099555,0.12753,34,-0.299925,O,-0.765536,-0.390392,0.799984,-0.09085
1.052206,-0.041346,-32,0.203752,O,-0.667243,-0.134832,0.70362,0.259565
1.052285,-0.032252,-28,-0.15064,O,-0.606764,0.022413,0.349509,0.452761
1.042636,-0.019291,-24,-0.349926,O,-0.564298,0.132824,0.150168,-0.272116
1.045858,0.04989,-4,0.251335,G,0.399888,0.94848,-0.199944,0.085585
1.048923,-0.014629,-24,0.052941,O,-0.551137,0.167043,0.552789,0.80804
1.04851,-0.021225,-26,-0.246344,O,-0.574829,0.105444,0.253496,0.103622
1.049082,-0.013223,-24,0.250212,O,-0.550832,0.167836,0.749786,0.091686
1.0564,0.070111,6,-0.102075,G,0.327994,0.733102,-0.163997,0.625816
1.05427,0.061484,2,-0.346336,G,0.510614,0.90904,-0.255307,-0.259153
1.076586,0.099908,20,-0.29662,L,-0.4,0.24503,0.796932,-0.079753
1.042827,0.132943,4,0.147879,G,0.670928,0.811922,-0.335464,0.464053
1.053087,0.067596,4,-0.100208,G,0.251314,0.77446,-0.125657,0.63679
1.068698,0.097043,16,-0.251149,L,-0.4,0.383993,0.750974,0.087366
1.054088,-0.031157,-30,-0.104565,O,-0.630561,-0.039459,0.395331,0.619384
1.049755,-0.0294,-30,0.096003,O,-0.615031,0.000919,0.596028,0.650806
1.042418,-0.005962,-22,0.446615,R,-0.4,0.286399,0.945631,-0.620476
1.125702,0.188382,36,0.147867,O,-0.810592,-0.507539,0.352446,0.463441
1.103994,0.122552,36,-0.298371,O,-0.790734,-0.45591,0.798788,-0.086502
1.058745,0.082611,12,-0.19533,G,0.47822,0.56541,-0.23911,0.289164
1.055109,0.083726,10,0.399072,G,1,0.510596,-0.887679,-0.448272
1.068891,0.0972,16,0.204753,L,-0.4,0.365399,0.29551,0.256399
1.018077,0.096397,-10,-0.450151,G,1,0.701537,-0.748788,-0.637545
1.053785,0.06494,0,-0.247432,D,-0.3,0.835296,1,0.101199
1.076357,0.105864,24,0.198905,O,-0.59696,0.047903,0.301139,0.276871
1.070025,0.098054,18,0.495747,L,-0.4,0.300851,0.004407,-0.802157
1.079254,0.168117,18,0.399439,L,-0.4,0.263605,0.100523,-0.452644
1.030107,0.115764,-2,-0.245676,G,0.318126,0.913169,-0.159063,0.105839
1.046227,0.033014,-10,-0.147658,G,0.811194,0.742146,-0.405597,0.462754
1.096517,0.118496,32,-0.003307,O,-0.733203,-0.306329,0.502713,0.990134
1.05518,0.076128,8,-0.302214,D,-0.3,0.637761,1,-0.097581
1.051167,0.057841,0,0.350126,G,0.933576,0.883414,-0.466788,-0.273462
1.050677,-0.011576,-22,-0.153573,R,-0.4,0.311553,0.346785,0.442853
1.014246,0.066836,-16,-0.451789,G,1,0.403875,-1,-0.642312
1.098623,0.130139,36,0.449584,O,-0.768963,-0.399303,0.05117,-0.632111
1.040514,0.023816,-12,-0.153622,G,0.975469,0.666175,-0.487734,0.440328
1.081344,0.102796,24,0.054022,O,-0.60123,0.036803,0.44673,0.80629
1.044671,0.033174,-8,0.048361,G,0.313781,0.795247,-0.15689,0.825953
1.073552,0.103643,20,-0.14801,L,-0.4,0.245677,0.647785,0.462601
1.019124,0.091534,-10,0.448465,G,0.289794,0.696198,-0.144897,-0.631633
1.047978,0.049887,-4,0.146932,G,0.278386,0.992324,-0.139193,0.465929
1.098806,0.115335,32,-0.304382,O,-0.604936,0.027167,0.804745,-0.108162
1.077771,0.100192,22,0.196039,O,-0.593592,0.05666,0.303247,0.284535
1.048744,-0.016454,-24,-0.147289,O,-0.590764,0.064013,0.352872,0.464988
1.04881,0.034743,-10,0.501533,G,0.330791,0.663071,-0.165396,-0.826634
1.105786,0.185825,30,0.095449,O,-0.670482,-0.143253,0.404702,0.653463
1.087919,0.113426,30,0.20434,O,-0.694211,-0.204948,0.295563,0.256592
1.073048,0.100719,20,-0.200612,O,-0.553054,0.162059,0.700318,0.271569
1.086035,0.112442,30,-0.254739,O,-0.71597,-0.261521,0.755168,0.072116
1.050354,-0.010759,-24,0.450031,O,-0.54783,0.175642,0.950498,-0.638174
1.046247,-0.002529,-20,-0.146173,R,-0.4,0.276526,0.354459,0.470761
1.023828,0.088576,-10,-0.302221,G,1,0.677165,-0.625093,-0.09912
1.106707,0.123265,36,0.096547,O,-0.802923,-0.4876,0.403998,0.6509
1.050975,-0.009888,-24,0.453946,R,-0.4,0.261142,0.953707,-0.649843
